arm,n_treated_channels,size_proxy_median,att,ci_low,ci_high,se,n_clusters,n_videos
large,14,13.010499951670683,0.14527373178222397,0.010679785448833209,0.27995064559039895,0.07886336399440086,5,7056
small,13,13.010499951670683,0.5792908532253537,0.41616919922182083,0.7475632503630594,0.09931942029053599,5,5246
