rel_month,n_groups,n_valid,mean_hhi,std_hhi,mean_gini,std_gini
-24,5,5,0.4221235218883027,0.08806421559517569,0.47447630573825733,0.130718768067535
-23,5,5,0.3791629316463781,0.06598302659599571,0.42684688925627273,0.16465626301431346
-22,5,5,0.49901804828121155,0.18702299951610687,0.5293901751624658,0.09664756638779709
-21,5,5,0.4579511935702726,0.12608935338793875,0.4318989332197253,0.19962270034371613
-20,5,5,0.5903857758447131,0.15941483335867185,0.5180819987239247,0.17020179252648873
-19,5,5,0.5418131532988035,0.21082022692044203,0.5082067924228004,0.10121049118917055
-18,5,5,0.4468172125393882,0.14182479315047847,0.4907427487826208,0.13709561718291222
-17,5,5,0.4198266410847702,0.1198673306026992,0.4636271622902835,0.1426001734899309
-16,5,4,0.3804526068574977,0.11944580915384054,0.40188938336084,0.21710526149044243
-15,5,5,0.4135632155881693,0.1789873435071912,0.4559098778884856,0.08503369322288588
-14,5,5,0.40031771405114747,0.1389774670177232,0.39914295730613164,0.1306008675434985
-13,5,5,0.4257067127290052,0.12328112029044648,0.40333126715675005,0.19848054000174234
-12,5,5,0.5629278851215997,0.1729188836226688,0.5516999157198278,0.13035776109650937
-11,5,5,0.4626417686535428,0.18958330389688421,0.4401575596063047,0.10290463773924774
-10,5,5,0.38179069070848143,0.08489742332779372,0.41081018417161824,0.15922222633250388
-9,5,5,0.3730792747131814,0.08012440002242341,0.37663095844532235,0.22726131791651508
-8,5,5,0.3157608107805832,0.07626167229573395,0.3274762490269066,0.13435842727326727
-7,5,5,0.3714750841168377,0.08836121804610561,0.40903795101223184,0.12667239841957326
-6,5,5,0.346961966393711,0.03757578793195885,0.34836547794832906,0.15013914740835071
-5,5,5,0.44580849906331804,0.18841356246680838,0.4647907006911445,0.09251563621434501
-4,5,5,0.421055808179802,0.225775538774423,0.37384888900082847,0.15026748121297231
-3,5,5,0.37976791223556566,0.07900522771003858,0.45038803205567335,0.15109568020435474
-2,5,5,0.3162770296028207,0.06041609685987175,0.3736998601742794,0.07890192721559369
-1,5,5,0.42368903542795505,0.22424311630452712,0.41104228130741055,0.1803938139838991
0,5,5,0.3558214297264274,0.09664526773596073,0.41915215818202467,0.12430353953049238
1,5,5,0.27205000263768764,0.027449825525226127,0.36833927349838946,0.12952148578771763
2,5,5,0.3269367911699205,0.19349084448400306,0.3933406991738403,0.11800283976122211
3,5,5,0.28523795760626836,0.04497219420532716,0.4463949164554892,0.11755338654210985
4,5,5,0.2926772528223683,0.11040660573891271,0.3497451298638813,0.1439093668324941
5,5,5,0.33509142749631,0.23559740670666976,0.35248820461236074,0.06741257473853336
6,5,5,0.304432226603383,0.15983151822104671,0.29515866289825315,0.09820902496995465
7,5,5,0.38890221982465734,0.29483833130867954,0.34929979365774283,0.11670869846213146
8,5,5,0.3207824894017335,0.08116468007692303,0.41466413477012865,0.08983582612188548
9,5,5,0.46170652785805555,0.2991995815196676,0.46099256479109807,0.1123491401640109
10,5,5,0.3679865872458865,0.08966340673457847,0.46736478183915986,0.09208594148991663
11,5,5,0.3397535313402384,0.11531466438773735,0.4692850699946799,0.09566426376031606
12,5,5,0.37558598479334215,0.15437885765257395,0.4569932273644449,0.13439826690418977
13,5,5,0.29438201324315033,0.05504406388172129,0.4226781308597055,0.05345129541353148
14,5,5,0.4011841564710877,0.1804033893175719,0.5124391642893926,0.10432304544213962
15,5,4,0.32122581543419093,0.13275312739283038,0.4987228520833969,0.08872870761604731
16,5,5,0.3730433113781409,0.1348189678238815,0.49805701670261093,0.13281224710892667
17,5,5,0.47349578965095895,0.23250638074104132,0.47076670240048635,0.10412402458352817
18,5,5,0.3931405560525999,0.15782035178909237,0.5160856937379747,0.047810895524910725
19,5,5,0.47526975818487865,0.26646731511414956,0.4571463337168513,0.14221651816991684
20,5,5,0.42379203564989554,0.14737582872362226,0.5108907738448488,0.12689840736125477
21,5,5,0.3640380545350014,0.17184504993519487,0.49540742926059733,0.11662997805029067
22,5,5,0.40846520446878143,0.16723049931811032,0.5352344434800133,0.10016526681877573
23,5,5,0.31042147883439897,0.11749682680056088,0.41206586834384795,0.08680535841733021
24,5,5,0.41448863685396287,0.1444008262631894,0.47308556730891616,0.11278134591244449
