case,n_donors,n_pre_months,n_post_months,post_len_weeks,pre_rmspe,post_rmspe,rmspe_ratio,mean_post_gap,treated_rank,n_units,p
KSI,40,21,3,9.7,0.9315336002724208,0.3227091607270315,0.3464278267929974,0.3177471410055522,41,41,1.0
Team 10,40,24,23,108.6,0.2163122412019088,0.5025810991303281,2.323405722846781,-0.195495801894843,15,41,0.36585365853658536
