arm,rel_month,n_channels,mean_uploads,std_uploads
control,-24,40,10.585365853658537,12.94213199159261
control,-23,41,10.0,12.074969070303265
control,-22,41,9.642857142857142,12.489647280792452
control,-21,41,9.80952380952381,12.70344315767953
control,-20,41,10.30952380952381,12.345608669735508
control,-19,41,9.333333333333334,12.650396054084757
control,-18,42,10.744186046511627,15.663261570062016
control,-17,43,9.886363636363637,14.374098004608458
control,-16,43,10.795454545454545,13.97602522836634
control,-15,46,9.851063829787234,14.776565941299635
control,-14,46,9.680851063829786,13.643132343032876
control,-13,48,9.673469387755102,13.337584356343733
control,-12,50,9.882352941176471,14.87635312678955
control,-11,51,10.48076923076923,15.14697974762999
control,-10,51,11.26923076923077,18.03821149411675
control,-9,51,9.692307692307692,15.37573650273405
control,-8,51,9.153846153846153,14.369609291541419
control,-7,51,9.596153846153847,14.077181668948269
control,-6,51,9.884615384615385,14.739108768855424
control,-5,51,9.26923076923077,13.055110012401174
control,-4,51,9.576923076923077,14.08008766941032
control,-3,51,10.653846153846153,15.649199209462315
control,-2,51,9.75,14.857328026210883
control,-1,51,9.288461538461538,13.523163190791061
control,0,51,8.692307692307692,13.903784872682046
control,1,51,9.48076923076923,13.770514656558252
control,2,51,10.173076923076923,13.3896670049621
control,3,51,9.442307692307692,13.594135790975058
control,4,51,9.5,12.321669100075878
control,5,51,9.26923076923077,11.936293944192725
control,6,51,8.942307692307692,11.75804015538414
control,7,51,8.788461538461538,11.246501047971371
control,8,51,7.884615384615385,10.363309801663215
control,9,51,8.365384615384615,10.803102034816696
control,10,51,9.173076923076923,11.53633841703676
control,11,51,8.557692307692308,11.946635364441322
control,12,51,9.211538461538462,12.582802671778774
control,13,51,8.615384615384615,11.562538981223272
control,14,51,8.057692307692308,11.230933230894147
control,15,51,7.75,10.963173649568278
control,16,51,8.403846153846153,11.277705953947834
control,17,51,8.096153846153847,11.860727113551757
control,18,51,7.5576923076923075,9.786772709138178
control,19,51,7.038461538461538,9.534172879106388
control,20,51,6.711538461538462,8.787996578358278
control,21,51,6.961538461538462,9.59975804119417
control,22,51,7.673076923076923,10.682074326437514
control,23,51,7.75,10.327718272003857
control,24,51,7.25,10.405268273482296
treated,-24,27,10.037037037037036,10.453124234782933
treated,-23,27,9.518518518518519,10.31194367402103
treated,-22,27,11.074074074074074,10.144820299905707
treated,-21,27,9.777777777777779,8.572466359641167
treated,-20,27,11.925925925925926,12.581812043660257
treated,-19,27,9.074074074074074,10.201530525917423
treated,-18,27,8.444444444444445,8.9628864398325
treated,-17,28,8.785714285714286,9.366437889088825
treated,-16,28,8.571428571428571,9.98305442544393
treated,-15,29,8.413793103448276,9.398013625150911
treated,-14,29,9.137931034482758,9.440505956216521
treated,-13,29,8.827586206896552,10.138571910978818
treated,-12,29,7.758620689655173,9.934266715385379
treated,-11,30,8.533333333333333,9.82864684738315
treated,-10,30,8.1,8.87984933081249
treated,-9,30,9.666666666666666,9.241336421242044
treated,-8,30,11.4,10.9248214693848
treated,-7,30,9.5,9.272688856027125
treated,-6,30,9.8,11.204678825660594
treated,-5,30,10.1,11.040208643705595
treated,-4,30,8.1,9.517135181816299
treated,-3,30,8.666666666666666,9.31936557457876
treated,-2,30,9.466666666666667,9.420203282576098
treated,-1,30,8.833333333333334,9.917185826263601
treated,0,30,7.866666666666666,10.122468464563966
treated,1,30,8.5,10.650400672404707
treated,2,30,8.5,10.731037806931496
treated,3,30,9.466666666666667,11.810963151864993
treated,4,30,9.033333333333333,11.975501813208535
treated,5,30,9.4,12.00459682070107
treated,6,30,8.833333333333334,12.317868527365896
treated,7,30,8.4,11.28807732322792
treated,8,30,7.133333333333334,11.022651703411146
treated,9,30,7.533333333333333,11.003865569483496
treated,10,30,8.0,10.954451150103322
treated,11,30,8.633333333333333,11.6159323800318
treated,12,30,8.4,12.361229712289955
treated,13,30,7.6,11.998850519658268
treated,14,30,8.3,13.39364234151464
treated,15,30,9.333333333333334,13.519674892370832
treated,16,30,8.066666666666666,12.665275180678028
treated,17,30,7.633333333333334,12.540921522905649
treated,18,30,9.066666666666666,13.900963333855511
treated,19,30,8.6,13.895174056807114
treated,20,30,6.5,11.094422332710781
treated,21,30,7.766666666666667,13.770741931113708
treated,22,30,7.9,12.728870253523464
treated,23,30,7.333333333333333,11.830216523314597
treated,24,30,8.2,13.573300363530628
