rel_quarter,n_creators,mean_external_partners,std_external_partners
-8,7,0.0,0.0
-7,7,0.0,0.0
-6,7,0.14285714285714285,0.37796447300922725
-5,7,0.0,0.0
-4,7,0.0,0.0
-3,7,0.0,0.0
-2,7,0.0,0.0
-1,7,0.0,0.0
0,7,0.0,0.0
1,7,0.14285714285714285,0.37796447300922725
2,7,0.14285714285714285,0.37796447300922725
3,7,0.0,0.0
4,7,0.14285714285714285,0.37796447300922725
5,7,0.2857142857142857,0.48795003647426666
6,7,0.2857142857142857,0.4879500364742666
7,7,0.0,0.0
8,7,0.5714285714285714,0.7867957924694432
